Date and Time Stamp,Tag,% Open
3/20/2017 0:07,Filter 6 dsh valve postion,-0.01
3/20/2017 0:22,Filter 6 dsh valve postion,-0.03
3/20/2017 0:37,Filter 6 dsh valve postion,-0.01
3/20/2017 0:52,Filter 6 dsh valve postion,-0.04
3/20/2017 1:07,Filter 6 dsh valve postion,-0.025
3/20/2017 1:22,Filter 6 dsh valve postion,-0.03
3/20/2017 1:37,Filter 6 dsh valve postion,-0.04
3/20/2017 1:52,Filter 6 dsh valve postion,-0.04
3/20/2017 2:07,Filter 6 dsh valve postion,-0.025
3/20/2017 2:22,Filter 6 dsh valve postion,-0.04
3/20/2017 2:37,Filter 6 dsh valve postion,-0.02
3/20/2017 2:52,Filter 6 dsh valve postion,-0.04
3/20/2017 3:07,Filter 6 dsh valve postion,-0.02
3/20/2017 3:22,Filter 6 dsh valve postion,-0.025
3/20/2017 3:37,Filter 6 dsh valve postion,-0.03
3/20/2017 3:52,Filter 6 dsh valve postion,-0.025
3/20/2017 4:07,Filter 6 dsh valve postion,-0.02
3/20/2017 4:22,Filter 6 dsh valve postion,-0.015
3/20/2017 4:37,Filter 6 dsh valve postion,-0.03
3/20/2017 4:52,Filter 6 dsh valve postion,-0.015
3/20/2017 5:07,Filter 6 dsh valve postion,-0.035
3/20/2017 5:22,Filter 6 dsh valve postion,-0.05
3/20/2017 5:37,Filter 6 dsh valve postion,-0.055
3/20/2017 5:52,Filter 6 dsh valve postion,-0.015
3/20/2017 6:07,Filter 6 dsh valve postion,-0.045
3/20/2017 6:22,Filter 6 dsh valve postion,-0.025
3/20/2017 6:37,Filter 6 dsh valve postion,-0.015
3/20/2017 6:52,Filter 6 dsh valve postion,-0.03
3/20/2017 7:07,Filter 6 dsh valve postion,-0.045
3/20/2017 7:22,Filter 6 dsh valve postion,-0.04
3/20/2017 7:37,Filter 6 dsh valve postion,-0.02
3/20/2017 7:52,Filter 6 dsh valve postion,-0.02
3/20/2017 8:07,Filter 6 dsh valve postion,-0.05
3/20/2017 8:22,Filter 6 dsh valve postion,-0.02
3/20/2017 8:37,Filter 6 dsh valve postion,-0.03
3/20/2017 8:52,Filter 6 dsh valve postion,-0.04
3/20/2017 9:07,Filter 6 dsh valve postion,-0.03
3/20/2017 9:22,Filter 6 dsh valve postion,-0.015
3/20/2017 9:37,Filter 6 dsh valve postion,-0.05
3/20/2017 9:52,Filter 6 dsh valve postion,-0.025
3/20/2017 10:07,Filter 6 dsh valve postion,-0.035
3/20/2017 10:22,Filter 6 dsh valve postion,-0.025
3/20/2017 10:37,Filter 6 dsh valve postion,-0.03
3/20/2017 10:52,Filter 6 dsh valve postion,-0.02
3/20/2017 11:07,Filter 6 dsh valve postion,-0.04
3/20/2017 11:22,Filter 6 dsh valve postion,-0.01
3/20/2017 11:37,Filter 6 dsh valve postion,-0.035
3/20/2017 11:52,Filter 6 dsh valve postion,-0.035
3/20/2017 12:07,Filter 6 dsh valve postion,-0.025
3/20/2017 12:23,Filter 6 dsh valve postion,-0.025
3/20/2017 12:38,Filter 6 dsh valve postion,-0.025
3/20/2017 12:53,Filter 6 dsh valve postion,-0.03
3/20/2017 13:08,Filter 6 dsh valve postion,-0.04
3/20/2017 13:23,Filter 6 dsh valve postion,-0.025
3/20/2017 13:38,Filter 6 dsh valve postion,-0.02
3/20/2017 13:53,Filter 6 dsh valve postion,-0.045
3/20/2017 14:08,Filter 6 dsh valve postion,-0.015
3/20/2017 14:23,Filter 6 dsh valve postion,-0.02
3/20/2017 14:38,Filter 6 dsh valve postion,-0.01
3/20/2017 14:53,Filter 6 dsh valve postion,-0.01
3/20/2017 15:08,Filter 6 dsh valve postion,-0.02
3/20/2017 15:23,Filter 6 dsh valve postion,-0.01
3/20/2017 15:38,Filter 6 dsh valve postion,-0.03
3/20/2017 15:53,Filter 6 dsh valve postion,-0.055
3/20/2017 16:08,Filter 6 dsh valve postion,-0.015
3/20/2017 16:23,Filter 6 dsh valve postion,-0.03
3/20/2017 16:38,Filter 6 dsh valve postion,-0.025
3/20/2017 16:53,Filter 6 dsh valve postion,-0.045
3/20/2017 17:08,Filter 6 dsh valve postion,-0.015
3/20/2017 17:23,Filter 6 dsh valve postion,-0.045
3/20/2017 17:38,Filter 6 dsh valve postion,-0.045
3/20/2017 17:53,Filter 6 dsh valve postion,-0.04
3/20/2017 18:08,Filter 6 dsh valve postion,-0.015
3/20/2017 18:23,Filter 6 dsh valve postion,-0.06
3/20/2017 18:38,Filter 6 dsh valve postion,-0.03
3/20/2017 18:53,Filter 6 dsh valve postion,-0.02
3/20/2017 19:08,Filter 6 dsh valve postion,43.325
3/20/2017 19:23,Filter 6 dsh valve postion,99.925
3/20/2017 19:38,Filter 6 dsh valve postion,99.925
3/20/2017 19:53,Filter 6 dsh valve postion,99.91
